run_id	status	leaderboard	model_name	predictions	per_question_csv	eval_txt	adapter_dir
1	ok	0.1994	HuggingFaceTB/SmolLM2-1.7B-Instruct	results/smollm2_top3_rf_two_stage/run1_predictions.json	results/smollm2_top3_rf_two_stage/run1_per_question.csv	results/smollm2_top3_rf_two_stage/run1_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/augmented_smollm2_top3_experiment_rf/runs/1/checkpoints/final_checkpoint
2	ok	0.1996	HuggingFaceTB/SmolLM2-1.7B-Instruct	results/smollm2_top3_rf_two_stage/run2_predictions.json	results/smollm2_top3_rf_two_stage/run2_per_question.csv	results/smollm2_top3_rf_two_stage/run2_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/augmented_smollm2_top3_experiment_rf/runs/2/checkpoints/final_checkpoint
3	ok	0.2160	HuggingFaceTB/SmolLM2-1.7B-Instruct	results/smollm2_top3_rf_two_stage/run3_predictions.json	results/smollm2_top3_rf_two_stage/run3_per_question.csv	results/smollm2_top3_rf_two_stage/run3_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/augmented_smollm2_top3_experiment_rf/runs/3/checkpoints/final_checkpoint
